Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2021,1,1,    76.4,    20.6,    27.6,    39.2,-,-,-,-,-
Mandai,2021,1,2,   127.2,    11.8,    18.6,    30.8,-,-,-,-,-
Mandai,2021,1,3,     2.2,     0.6,     1.0,     1.2,-,-,-,-,-
Mandai,2021,1,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,1,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,1,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,1,7,     1.8,     1.0,     1.2,     1.2,-,-,-,-,-
Mandai,2021,1,8,     8.4,     6.4,     6.4,     6.4,-,-,-,-,-
Mandai,2021,1,9,    19.6,     4.4,     5.2,     8.2,-,-,-,-,-
Mandai,2021,1,10,   106.4,    11.2,    14.8,    18.8,-,-,-,-,-
Mandai,2021,1,11,     2.2,     0.4,     0.8,     2.2,-,-,-,-,-
Mandai,2021,1,12,    11.2,     3.4,     3.4,     3.6,-,-,-,-,-
Mandai,2021,1,13,     2.2,     1.0,     1.0,     1.6,-,-,-,-,-
Mandai,2021,1,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,1,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,1,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,1,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,1,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,1,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,1,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,1,21,    18.8,     8.4,    12.2,    16.6,-,-,-,-,-
Mandai,2021,1,22,     9.0,     8.8,     9.0,     9.0,-,-,-,-,-
Mandai,2021,1,23,    23.8,    21.6,    23.6,    23.8,-,-,-,-,-
Mandai,2021,1,24,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2021,1,25,     8.0,     7.2,     7.2,     7.2,-,-,-,-,-
Mandai,2021,1,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,1,27,     2.2,     1.8,     1.8,     2.2,-,-,-,-,-
Mandai,2021,1,28,     1.6,     1.0,     1.4,     1.6,-,-,-,-,-
Mandai,2021,1,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,1,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,1,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-