Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2022,1,1,27.2,19.6,23.4,24.6,-,-,-,-,-
Mandai,2022,1,2,97.2,26.8,36.8,42.4,-,-,-,-,-
Mandai,2022,1,3,1.2,0.2,0.4,0.6,-,-,-,-,-
Mandai,2022,1,4,28.8,19.8,20.2,27,-,-,-,-,-
Mandai,2022,1,5,0.5,0.5,0.5,0.5,-,-,-,-,-
Mandai,2022,1,6,0,0,0,0,-,-,-,-,-
Mandai,2022,1,7,61.8,27.2,48.4,60.4,-,-,-,-,-
Mandai,2022,1,8,0,0,0,0,-,-,-,-,-
Mandai,2022,1,9,0,0,0,0,-,-,-,-,-
Mandai,2022,1,10,0,0,0,0,-,-,-,-,-
Mandai,2022,1,11,0,0,0,0,-,-,-,-,-
Mandai,2022,1,12,0,0,0,0,-,-,-,-,-
Mandai,2022,1,13,0,0,0,0,-,-,-,-,-
Mandai,2022,1,14,0,0,0,0,-,-,-,-,-
Mandai,2022,1,15,0,0,0,0,-,-,-,-,-
Mandai,2022,1,16,0,0,0,0,-,-,-,-,-
Mandai,2022,1,17,1.6,1,1,1.6,-,-,-,-,-
Mandai,2022,1,18,0,0,0,0,-,-,-,-,-
Mandai,2022,1,19,1,0.6,0.6,0.6,-,-,-,-,-
Mandai,2022,1,20,9.6,5.2,5.2,5.2,-,-,-,-,-
Mandai,2022,1,21,0,0,0,0,-,-,-,-,-
Mandai,2022,1,22,2,2,2,2,-,-,-,-,-
Mandai,2022,1,23,0,0,0,0,-,-,-,-,-
Mandai,2022,1,24,0,0,0,0,-,-,-,-,-
Mandai,2022,1,25,0,0,0,0,-,-,-,-,-
Mandai,2022,1,26,0,0,0,0,-,-,-,-,-
Mandai,2022,1,27,0,0,0,0,-,-,-,-,-
Mandai,2022,1,28,0,0,0,0,-,-,-,-,-
Mandai,2022,1,29,0,0,0,0,-,-,-,-,-
Mandai,2022,1,30,16.2,8.8,9,10,-,-,-,-,-
Mandai,2022,1,31,0,0,0,0,-,-,-,-,-
Mandai,2022,2,1,0,0,0,0,-,-,-,-,-
Mandai,2022,2,2,0,0,0,0,-,-,-,-,-
Mandai,2022,2,3,0,0,0,0,-,-,-,-,-
Mandai,2022,2,4,0,0,0,0,-,-,-,-,-
Mandai,2022,2,5,1.4,0.6,0.6,1,-,-,-,-,-
Mandai,2022,2,6,37.4,19.8,21,25.8,-,-,-,-,-
Mandai,2022,2,7,2.2,1.2,1.8,2,-,-,-,-,-
Mandai,2022,2,8,1,0.6,0.8,0.8,-,-,-,-,-
Mandai,2022,2,9,29.4,11.6,18,23.8,-,-,-,-,-
Mandai,2022,2,10,16.4,4.6,6.4,7,-,-,-,-,-
Mandai,2022,2,11,1.8,1.2,1.4,1.6,-,-,-,-,-
Mandai,2022,2,12,6.4,3.8,5,5.8,-,-,-,-,-
Mandai,2022,2,13,6.2,5,5.8,6,-,-,-,-,-
Mandai,2022,2,14,0,0,0,0,-,-,-,-,-
Mandai,2022,2,15,0.8,0.6,0.6,0.6,-,-,-,-,-
Mandai,2022,2,16,12,11,11,11.4,-,-,-,-,-
Mandai,2022,2,17,3,3,3,3,-,-,-,-,-
Mandai,2022,2,18,0,0,0,0,-,-,-,-,-
Mandai,2022,2,19,0.6,0.6,0.6,0.6,-,-,-,-,-
Mandai,2022,2,20,32,27.8,31.8,32,-,-,-,-,-
Mandai,2022,2,21,0,0,0,0,-,-,-,-,-
Mandai,2022,2,22,0,0,0,0,-,-,-,-,-
Mandai,2022,2,23,0,0,0,0,-,-,-,-,-
Mandai,2022,2,24,16.8,5.6,8.2,11.4,-,-,-,-,-
Mandai,2022,2,25,1.6,1.4,1.6,1.6,-,-,-,-,-
Mandai,2022,2,26,0,0,0,0,-,-,-,-,-
Mandai,2022,2,27,49.8,22.6,28.8,40,-,-,-,-,-
Mandai,2022,2,28,0,0,0,0,-,-,-,-,-
Mandai,2022,3,1,27,25,26.6,27,-,-,-,-,-
Mandai,2022,3,2,65.4,33.2,43,64.2,-,-,-,-,-
Mandai,2022,3,3,3.6,1.8,2,2.2,-,-,-,-,-
Mandai,2022,3,4,0,0,0,0.2,-,-,-,-,-
Mandai,2022,3,5,16,11,14.4,16,-,-,-,-,-
Mandai,2022,3,6,0,0,0,0,-,-,-,-,-
Mandai,2022,3,7,76.6,47.2,69.2,76.2,-,-,-,-,-
Mandai,2022,3,8,1,1,1,1,-,-,-,-,-
Mandai,2022,3,9,1,1,1,1,-,-,-,-,-
Mandai,2022,3,10,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2022,3,11,3.6,2.2,3.4,3.4,-,-,-,-,-
Mandai,2022,3,12,0,0,0,0,-,-,-,-,-
Mandai,2022,3,13,0,0,0,0,-,-,-,-,-
Mandai,2022,3,14,0,0,0,0,-,-,-,-,-
Mandai,2022,3,15,0,0,0,0,-,-,-,-,-
Mandai,2022,3,16,0,0,0,0,-,-,-,-,-
Mandai,2022,3,17,1.8,-,-,-,-,-,-,-,-
Mandai,2022,3,18,0,0,0,0,-,-,-,-,-
Mandai,2022,3,19,0,0,0,0,-,-,-,-,-
Mandai,2022,3,20,0,0,0,0,-,-,-,-,-
Mandai,2022,3,21,1.2,1,1,1.2,-,-,-,-,-
Mandai,2022,3,22,1,0.6,1,1,-,-,-,-,-
Mandai,2022,3,23,15.2,9.4,14.4,15.2,-,-,-,-,-
Mandai,2022,3,24,0.8,0.6,0.8,0.8,-,-,-,-,-
Mandai,2022,3,25,0,0,0,0,-,-,-,-,-
Mandai,2022,3,26,0,0,0,0,-,-,-,-,-
Mandai,2022,3,27,0,0,0,0,-,-,-,-,-
Mandai,2022,3,28,18.6,17,18.6,18.6,-,-,-,-,-
Mandai,2022,3,29,49.4,40.2,49.4,49.4,-,-,-,-,-
Mandai,2022,3,30,0,0,0,0,-,-,-,-,-
Mandai,2022,3,31,0.4,0.4,0.4,0.4,-,-,-,-,-
Mandai,2022,4,1,0,0,0,0,-,-,-,-,-
Mandai,2022,4,2,1,1,1,1,-,-,-,-,-
Mandai,2022,4,3,11.6,5.8,6.6,11.2,-,-,-,-,-
Mandai,2022,4,4,0,0,0,0,-,-,-,-,-
Mandai,2022,4,5,0,0,0,0,-,-,-,-,-
Mandai,2022,4,6,5,2.8,3.6,4.8,-,-,-,-,-
Mandai,2022,4,7,0.8,0.4,0.4,0.4,-,-,-,-,-
Mandai,2022,4,8,0,0,0,0,-,-,-,-,-
Mandai,2022,4,9,5.6,5.6,5.6,5.6,-,-,-,-,-
Mandai,2022,4,10,0.6,0.6,0.6,0.6,-,-,-,-,-
Mandai,2022,4,11,21,18,21,21,-,-,-,-,-
Mandai,2022,4,12,9.8,5.4,5.4,5.4,-,-,-,-,-
Mandai,2022,4,13,0,0,0,0,-,-,-,-,-
Mandai,2022,4,14,4.6,3.4,4,4.6,-,-,-,-,-
Mandai,2022,4,15,7.8,4,4.6,6.2,-,-,-,-,-
Mandai,2022,4,16,0,0,0,0,-,-,-,-,-
Mandai,2022,4,17,8.8,6.6,8.8,8.8,-,-,-,-,-
Mandai,2022,4,18,32,13.4,19.6,30.4,-,-,-,-,-
Mandai,2022,4,19,5.2,3.4,3.6,3.8,-,-,-,-,-
Mandai,2022,4,20,6.2,5.2,6.2,6.2,-,-,-,-,-
Mandai,2022,4,21,4.2,1.6,2.6,3.6,-,-,-,-,-
Mandai,2022,4,22,0,0,0,0,-,-,-,-,-
Mandai,2022,4,23,14.6,14,14.6,14.6,-,-,-,-,-
Mandai,2022,4,24,0,0,0,0,-,-,-,-,-
Mandai,2022,4,25,9.4,2.4,3.6,3.6,-,-,-,-,-
Mandai,2022,4,26,0,0,0,0,-,-,-,-,-
Mandai,2022,4,27,0,0,0,0,-,-,-,-,-
Mandai,2022,4,28,1,0.8,1,1,-,-,-,-,-
Mandai,2022,4,29,0,0,0,0,-,-,-,-,-
Mandai,2022,4,30,24,21.8,21.8,22,-,-,-,-,-
Mandai,2022,5,1,5,4.4,4.6,4.8,-,-,-,-,-
Mandai,2022,5,2,3,1.4,2,2.4,-,-,-,-,-
Mandai,2022,5,3,7.4,3,5,5.8,-,-,-,-,-
Mandai,2022,5,4,42,16.8,22.8,35.2,-,-,-,-,-
Mandai,2022,5,5,0,0,0,0,-,-,-,-,-
Mandai,2022,5,6,0,0,0,0,-,-,-,-,-
Mandai,2022,5,7,10,4.4,4.4,4.6,-,-,-,-,-
Mandai,2022,5,8,1,0.2,0.4,0.6,-,-,-,-,-
Mandai,2022,5,9,2.6,2.4,2.6,2.6,-,-,-,-,-
Mandai,2022,5,10,0,0,0,0,-,-,-,-,-
Mandai,2022,5,11,10,4.4,5.6,7.4,-,-,-,-,-
Mandai,2022,5,12,0,0,0,0,-,-,-,-,-
Mandai,2022,5,13,0,0,0,0,-,-,-,-,-
Mandai,2022,5,14,34,27.6,33.6,34,-,-,-,-,-
Mandai,2022,5,15,14,11.8,13.4,14,-,-,-,-,-
Mandai,2022,5,16,50.8,16,25.6,45.4,-,-,-,-,-
Mandai,2022,5,17,0,0,0,0,-,-,-,-,-
Mandai,2022,5,18,0,0,0,0,-,-,-,-,-
Mandai,2022,5,19,21,10.4,10.6,16,-,-,-,-,-
Mandai,2022,5,20,0.4,0.4,0.4,0.4,-,-,-,-,-
Mandai,2022,5,21,0,0,0,0,-,-,-,-,-
Mandai,2022,5,22,0,0,0,0,-,-,-,-,-
Mandai,2022,5,23,0,0,0,0,-,-,-,-,-
Mandai,2022,5,24,0,0,0,0,-,-,-,-,-
Mandai,2022,5,25,24.6,18.8,20.2,20.8,-,-,-,-,-
Mandai,2022,5,26,0,0,0,0,-,-,-,-,-
Mandai,2022,5,27,0,0,0,0,-,-,-,-,-
Mandai,2022,5,28,0,0,0,0,-,-,-,-,-
Mandai,2022,5,29,0,0,0,0,-,-,-,-,-
Mandai,2022,5,30,0,0,0,0,-,-,-,-,-
Mandai,2022,5,31,0,0,0,0,-,-,-,-,-
Mandai,2022,6,1,0.6,0.4,0.4,0.4,-,-,-,-,-
Mandai,2022,6,2,0,0,0,0,-,-,-,-,-
Mandai,2022,6,3,2.4,1.6,1.6,1.6,-,-,-,-,-
Mandai,2022,6,4,15.2,9.8,14.4,15,-,-,-,-,-
Mandai,2022,6,5,0.4,0.4,0.4,0.4,-,-,-,-,-
Mandai,2022,6,6,2.8,2.8,2.8,2.8,-,-,-,-,-
Mandai,2022,6,7,0.6,0.4,0.4,0.4,-,-,-,-,-
Mandai,2022,6,8,18.6,15.8,18.2,18.2,-,-,-,-,-
Mandai,2022,6,9,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2022,6,10,8.8,6,7,8.8,-,-,-,-,-
Mandai,2022,6,11,20.6,16.8,18.6,20,-,-,-,-,-
Mandai,2022,6,12,0,0,0,0,-,-,-,-,-
Mandai,2022,6,13,4,2.6,2.6,2.8,-,-,-,-,-
Mandai,2022,6,14,6.4,5,6.4,6.4,-,-,-,-,-
Mandai,2022,6,15,6.8,3.4,3.4,3.4,-,-,-,-,-
Mandai,2022,6,16,7.6,4,5.6,7,-,-,-,-,-
Mandai,2022,6,17,0,0.2,0.2,0.4,-,-,-,-,-
Mandai,2022,6,18,6.8,3.4,3.4,3.4,-,-,-,-,-
Mandai,2022,6,19,0,0,0,0,-,-,-,-,-
Mandai,2022,6,20,44.6,33.6,42.8,43.8,-,-,-,-,-
Mandai,2022,6,21,17.8,15.8,17.6,17.8,-,-,-,-,-
Mandai,2022,6,22,0,0,0,0,-,-,-,-,-
Mandai,2022,6,23,2.6,0.8,1.2,1.6,-,-,-,-,-
Mandai,2022,6,24,5.2,4.4,4.8,4.8,-,-,-,-,-
Mandai,2022,6,25,2,0.6,0.8,0.8,-,-,-,-,-
Mandai,2022,6,26,0,0,0,0,-,-,-,-,-
Mandai,2022,6,27,0,0,0,0,-,-,-,-,-
Mandai,2022,6,28,2.8,2,2.4,2.4,-,-,-,-,-
Mandai,2022,6,29,0,0,0,0,-,-,-,-,-
Mandai,2022,6,30,18.2,15.8,17,17.6,-,-,-,-,-
Mandai,2022,7,1,0,0,0,0,-,-,-,-,-
Mandai,2022,7,2,0,0,0,0,-,-,-,-,-
Mandai,2022,7,3,0,0,0,0,-,-,-,-,-
Mandai,2022,7,4,0.4,0.2,0.4,0.4,-,-,-,-,-
Mandai,2022,7,5,2.6,2,2,2,-,-,-,-,-
Mandai,2022,7,6,1.2,0.6,1.2,1.2,-,-,-,-,-
Mandai,2022,7,7,0,0,0,0,-,-,-,-,-
Mandai,2022,7,8,8,7,7.4,7.8,-,-,-,-,-
Mandai,2022,7,9,0,0,0,0,-,-,-,-,-
Mandai,2022,7,10,12.2,10.8,12,12.2,-,-,-,-,-
Mandai,2022,7,11,0,0,0,0,-,-,-,-,-
Mandai,2022,7,12,0,0,0,0,-,-,-,-,-
Mandai,2022,7,13,0,0,0,0,-,-,-,-,-
Mandai,2022,7,14,0,0,0,0,-,-,-,-,-
Mandai,2022,7,15,0.4,0.4,0.4,0.4,-,-,-,-,-
Mandai,2022,7,16,0,0,0,0,-,-,-,-,-
Mandai,2022,7,17,0,0,0,0,-,-,-,-,-
Mandai,2022,7,18,0,0,0,0,-,-,-,-,-
Mandai,2022,7,19,0,0,0,0,-,-,-,-,-
Mandai,2022,7,20,11.6,7.2,7.4,7.6,-,-,-,-,-
Mandai,2022,7,21,0,0,0,0,-,-,-,-,-
Mandai,2022,7,22,8.4,8.2,8.4,8.4,-,-,-,-,-
Mandai,2022,7,23,0,0,0,0,-,-,-,-,-
Mandai,2022,7,24,8.8,6.8,8.4,8.4,-,-,-,-,-
Mandai,2022,7,25,8.4,8.2,8.2,8.2,-,-,-,-,-
Mandai,2022,7,26,33,26.8,31.6,31.8,-,-,-,-,-
Mandai,2022,7,27,0,0,0,0,-,-,-,-,-
Mandai,2022,7,28,1.8,1.6,1.6,1.8,-,-,-,-,-
Mandai,2022,7,29,47,33.4,45.2,45.8,-,-,-,-,-
Mandai,2022,7,30,0,0,0,0.2,-,-,-,-,-
Mandai,2022,7,31,0,0,0,0,-,-,-,-,-
Mandai,2022,8,1,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2022,8,2,27.4,9.4,14,21.2,-,-,-,-,-
Mandai,2022,8,3,34,12.8,13.6,16,-,-,-,-,-
Mandai,2022,8,4,0.6,1.2,1.6,6.2,-,-,-,-,-
Mandai,2022,8,5,0,0,0,0,-,-,-,-,-
Mandai,2022,8,6,0,0,0,0,-,-,-,-,-
Mandai,2022,8,7,1,0.6,0.8,1,-,-,-,-,-
Mandai,2022,8,8,0,0,0,0,-,-,-,-,-
Mandai,2022,8,9,0,0,0,0,-,-,-,-,-
Mandai,2022,8,10,0,0,0,0,-,-,-,-,-
Mandai,2022,8,11,0,0,0,0,-,-,-,-,-
Mandai,2022,8,12,0,0,0,0,-,-,-,-,-
Mandai,2022,8,13,6.4,5.6,6.2,6.4,-,-,-,-,-
Mandai,2022,8,14,43.4,36.6,42.6,43.4,-,-,-,-,-
Mandai,2022,8,15,0,0,0,0,-,-,-,-,-
Mandai,2022,8,16,21.8,20.8,21.6,21.8,-,-,-,-,-
Mandai,2022,8,17,0,0,0,0,-,-,-,-,-
Mandai,2022,8,18,8.4,8.2,8.2,8.2,-,-,-,-,-
Mandai,2022,8,19,0,0,0,0,-,-,-,-,-
Mandai,2022,8,20,53.2,39.6,50,53.2,-,-,-,-,-
Mandai,2022,8,21,31.2,12.4,18.8,27.6,-,-,-,-,-
Mandai,2022,8,22,0,0,0,0,-,-,-,-,-
Mandai,2022,8,23,35,17.2,28,33.6,-,-,-,-,-
Mandai,2022,8,24,0.8,0.6,0.6,0.8,-,-,-,-,-
Mandai,2022,8,25,12.6,11.2,11.2,11.2,-,-,-,-,-
Mandai,2022,8,26,14,8.8,8.8,11.8,-,-,-,-,-
Mandai,2022,8,27,50.6,25.4,34.2,49,-,-,-,-,-
Mandai,2022,8,28,0.8,0.4,0.6,0.6,-,-,-,-,-
Mandai,2022,8,29,1.8,1,1.2,1.2,-,-,-,-,-
Mandai,2022,8,30,1.8,1.8,1.8,1.8,-,-,-,-,-
Mandai,2022,8,31,0,0,0,0,-,-,-,-,-
Mandai,2022,9,1,4.4,4,4.4,4.4,-,-,-,-,-
Mandai,2022,9,2,1.4,0.6,1.2,1.2,-,-,-,-,-
Mandai,2022,9,3,0,0,0,0,-,-,-,-,-
Mandai,2022,9,4,34.4,19.8,23.4,24,-,-,-,-,-
Mandai,2022,9,5,14.2,12.2,13.4,14,-,-,-,-,-
Mandai,2022,9,6,0,0,0,0,-,-,-,-,-
Mandai,2022,9,7,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2022,9,8,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2022,9,9,2.4,1,1,1.4,-,-,-,-,-
Mandai,2022,9,10,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2022,9,11,0.4,0.2,0.2,0.2,-,-,-,-,-
Mandai,2022,9,12,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2022,9,13,2,1.8,2,2,-,-,-,-,-
Mandai,2022,9,14,0,0,0,0,-,-,-,-,-
Mandai,2022,9,15,0,0,0,0,-,-,-,-,-
Mandai,2022,9,16,0,0,0,0,-,-,-,-,-
Mandai,2022,9,17,0.4,0.4,0.4,0.4,-,-,-,-,-
Mandai,2022,9,18,51.4,25.4,33,40,-,-,-,-,-
Mandai,2022,9,19,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2022,9,20,0,0,0,0,-,-,-,-,-
Mandai,2022,9,21,0,0,0,0,-,-,-,-,-
Mandai,2022,9,22,43.8,21.8,28.6,38.4,-,-,-,-,-
Mandai,2022,9,23,0,0,0,0,-,-,-,-,-
Mandai,2022,9,24,5.6,2.6,3,4.6,-,-,-,-,-
Mandai,2022,9,25,74.6,44,54.4,64,-,-,-,-,-
Mandai,2022,9,26,1.2,1.2,1.2,1.2,-,-,-,-,-
Mandai,2022,9,27,0,0,0,0,-,-,-,-,-
Mandai,2022,9,28,0,0,0,0,-,-,-,-,-
Mandai,2022,9,29,13.6,12,12.4,13.2,-,-,-,-,-
Mandai,2022,9,30,0,0,0,0,-,-,-,-,-
Mandai,2022,10,1,15.2,12,13.2,13.4,-,-,-,-,-
Mandai,2022,10,2,39,19,19.2,19.4,-,-,-,-,-
Mandai,2022,10,3,103.6,47.8,71.8,100.6,-,-,-,-,-
Mandai,2022,10,4,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2022,10,5,52.8,14,23.2,37,-,-,-,-,-
Mandai,2022,10,6,18.8,12.4,16.2,17.2,-,-,-,-,-
Mandai,2022,10,7,9,5.4,5.8,6.4,-,-,-,-,-
Mandai,2022,10,8,0,0,0,0,-,-,-,-,-
Mandai,2022,10,9,1.2,1,1.2,1.2,-,-,-,-,-
Mandai,2022,10,10,25.6,9.8,11.8,18.6,-,-,-,-,-
Mandai,2022,10,11,14.4,9.8,12.4,13.6,-,-,-,-,-
Mandai,2022,10,12,5.6,4.6,4.6,5,-,-,-,-,-
Mandai,2022,10,13,0,0,0,0,-,-,-,-,-
Mandai,2022,10,14,0.6,0.2,0.4,0.4,-,-,-,-,-
Mandai,2022,10,15,0,0,0,0,-,-,-,-,-
Mandai,2022,10,16,22.8,5.8,8.4,12.4,-,-,-,-,-
Mandai,2022,10,17,3,1.8,2.2,3,-,-,-,-,-
Mandai,2022,10,18,0,0,0,0,-,-,-,-,-
Mandai,2022,10,19,7,7,7,7,-,-,-,-,-
Mandai,2022,10,20,0,0,0,0,-,-,-,-,-
Mandai,2022,10,21,19.6,10,14.6,17.6,-,-,-,-,-
Mandai,2022,10,22,2.6,1.4,1.8,2.2,-,-,-,-,-
Mandai,2022,10,23,0,0,0,0,-,-,-,-,-
Mandai,2022,10,24,0.6,0.2,0.4,0.6,-,-,-,-,-
Mandai,2022,10,25,15.6,8,9.8,11.8,-,-,-,-,-
Mandai,2022,10,26,1.4,0.4,0.6,0.8,-,-,-,-,-
Mandai,2022,10,27,1.6,0.6,1.2,1.4,-,-,-,-,-
Mandai,2022,10,28,1.2,0.6,0.8,0.8,-,-,-,-,-
Mandai,2022,10,29,0,0,0,0,-,-,-,-,-
Mandai,2022,10,30,58,39,45.4,55.4,-,-,-,-,-
Mandai,2022,10,31,8.2,13.4,45.4,54.8,-,-,-,-,-
Mandai,2022,11,1,0,0,0,0,-,-,-,-,-
Mandai,2022,11,2,0,0,0,0,-,-,-,-,-
Mandai,2022,11,3,13.4,9.6,12.8,13.4,-,-,-,-,-
Mandai,2022,11,4,46.2,30.2,39.2,39.2,-,-,-,-,-
Mandai,2022,11,5,23.2,27,45.2,49.8,-,-,-,-,-
Mandai,2022,11,6,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2022,11,7,45.2,14.6,25.8,42.6,-,-,-,-,-
Mandai,2022,11,8,32.4,19.6,30.4,31.2,-,-,-,-,-
Mandai,2022,11,9,2.8,2.2,2.6,2.6,-,-,-,-,-
Mandai,2022,11,10,8.2,1.8,3.4,6.2,-,-,-,-,-
Mandai,2022,11,11,0,0,0,0,-,-,-,-,-
Mandai,2022,11,12,12,5,6.2,10,-,-,-,-,-
Mandai,2022,11,13,15.4,6.8,10.8,15,-,-,-,-,-
Mandai,2022,11,14,41,31.6,36.8,39.6,-,-,-,-,-
Mandai,2022,11,15,2.8,1.6,2.2,2.6,-,-,-,-,-
Mandai,2022,11,16,28.6,20.8,21.8,25.4,-,-,-,-,-
Mandai,2022,11,17,0,0,0,0,-,-,-,-,-
Mandai,2022,11,18,0,0,0,0,-,-,-,-,-
Mandai,2022,11,19,6.6,2.2,2.8,3.8,-,-,-,-,-
Mandai,2022,11,20,0.8,0.4,0.6,0.8,-,-,-,-,-
Mandai,2022,11,21,1.4,0.8,1.4,1.4,-,-,-,-,-
Mandai,2022,11,22,4,4,4,4,-,-,-,-,-
Mandai,2022,11,23,13,11.4,12,12.8,-,-,-,-,-
Mandai,2022,11,24,40.2,28.2,40.2,40.2,-,-,-,-,-
Mandai,2022,11,25,7.4,12,40.2,45.2,-,-,-,-,-
Mandai,2022,11,26,0,0,0,0,-,-,-,-,-
Mandai,2022,11,27,0.6,0.2,0.4,0.4,-,-,-,-,-
Mandai,2022,11,28,39.4,29.8,35.2,35.4,-,-,-,-,-
Mandai,2022,11,29,49,40.8,48.8,48.8,-,-,-,-,-
Mandai,2022,11,30,19,13,15.6,18.2,-,-,-,-,-